reference,transform,severity,severity_value,top_score,hit_top1,hit_topk,rank
blues.00004,tempo,1.10x,1.1,0.994355,1,1,1
blues.00004,tempo,1.15x,1.15,0.992454,1,1,1
blues.00004,tempo,1.20x,1.2,0.992948,1,1,1
blues.00004,tempo,1.25x,1.25,0.99385,1,1,1
blues.00004,tempo,1.30x,1.3,0.994538,1,1,1
blues.00004,noise,SNR5dB,5,0.855365,1,1,1
blues.00004,noise,SNR8dB,8,0.927856,1,1,1
blues.00004,noise,SNR10dB,10,0.943253,1,1,1
blues.00004,noise,SNR12dB,12,0.955328,1,1,1
blues.00004,noise,SNR15dB,15,0.966168,1,1,1
blues.00004,noise,SNR20dB,20,0.977294,1,1,1
blues.00004,noise,SNR25dB,25,0.984537,1,1,1
blues.00004,noise,SNR30dB,30,0.989089,1,1,1
blues.00004,crop,0.5s,0.5,0.99586,1,1,1
blues.00004,crop,1.0s,1.0,0.99586,1,1,1
blues.00004,crop,1.5s,1.5,0.996154,1,1,1
blues.00004,crop,2.0s,2.0,0.976875,1,1,1
blues.00004,crop,2.5s,2.5,0.976875,1,1,1
blues.00004,crop,3.0s,3.0,0.976875,1,1,1
blues.00004,crop,3.5s,3.5,0.971786,1,1,1
blues.00004,lossy,32kbps,32,0.990632,1,1,1
blues.00004,lossy,48kbps,48,0.990973,1,1,1
blues.00004,lossy,64kbps,64,0.991278,1,1,1
blues.00004,lossy,80kbps,80,0.991432,1,1,1
blues.00004,lossy,96kbps,96,0.99146,1,1,1
blues.00004,lossy,128kbps,128,0.991484,1,1,1
blues.00004,lossy,192kbps,192,0.99148,1,1,1
